x,y
285,14388.565
286,14687.363
287,14959.232
288,15233.827
289,14993.706
290,16311.746
291,17128.369
292,18291.553
293,16446.703
294,13991.511
295,19597.426
296,18265.252
297,16397.455
298,14638.935
299,15778.01
300,14761.223
301,15095.501
302,14474.613
303,12246.208
304,14436.757
305,12934.27
306,12074.057
307,15223.432
308,16518.895
309,16172.988
310,17542.193
311,16054.61
312,16776.039
313,13443.438
314,14913.679
315,13891.308
316,16029.352
317,15210.112
318,16701.9
319,15902.244
320,14554.036
321,12630.579
322,13297.817
323,11714.535
324,11891.269
325,13292.257
326,13780.718
327,13367.62
328,12983.115
329,14472.464
330,14049.277
331,14922.014
332,15463.092
333,13969.034
334,13698.233
335,14217.205
336,11406.487
337,12283.196
338,12779.794
339,11800.217
340,11221.388
341,11290.414
342,11765.662
343,13438.384
344,12512.725
345,13562.364
346,11009.091
347,12462.126
348,13334.125
349,13677.525
350,13053.127
351,12848.212
352,12803.546
353,12793.003
354,12594.97
355,13901.094
356,15005.446
357,15358.104
358,16909.951
359,16965.834
360,14114.68
361,15080.837
362,13731.189
363,11967.052
364,13655.727
365,12978.799
366,13370.807
367,15771.416
368,17011.107
369,18005.521
370,17544.875
371,16271.098
372,15732.364
373,16938.143
374,16457.322
375,16777.959
376,17334.979
377,16581.842
378,15877.781
379,15823.066
380,15159.958
381,13408.762
382,14610.437
383,14319.183
384,16330.932
385,16921.314
386,21082.32
387,19085.848
388,17943.193
389,19021.666
390,16255.407
391,15867.884
392,14522.019
393,16046.479
394,12843.398
395,17277.428
396,15612.783
397,16733.617
398,15281.667
399,14718.621
400,12823.715
401,11892.635
402,13371.673
403,14535.034
404,12279.537
405,12249.648
406,12190.869
407,14287.62
408,13662.156
409,13167.856
410,14455.052
411,13784.771
412,12632.525
413,12726.706
414,12857.12
415,13004.228
416,14394.892
417,13915.735
418,13825.979
419,12726.097
420,13799.648
421,14307.076
422,12696.547
423,11980.586
424,12477.508
425,13489.04
426,13109.116
427,14284.517
428,13513.816
429,12975.938
430,11417.539
431,11271.253
432,13583.085
433,11036.484
434,11794.71
435,13297.722
436,12697.849
437,12205.581
438,12512.705
439,16071.851
440,16541.945
441,15714.381
442,13813.489
443,16061.08
444,16026.533
445,15118.64
446,15350.599
447,16680.01
448,15919.305
449,13718.063
450,13140.626
451,13640.156
452,13307.411
453,12110.958
454,11230.92
455,10196.665
456,10022.705
457,10032.505
458,11176.69
459,10286.443
460,10710.626
461,10637.585
462,9996.1221
463,10885.404
464,9458.9863
